Total: 3948 samples
     405  10.3%  10.3%      405  10.3% inflateBackEnd
     239   6.1%  16.3%      239   6.1% cv::FAST_t
     167   4.2%  20.5%      185   4.7% computeOrbDescriptor (inline)
     165   4.2%  24.7%      165   4.2% inflate
     127   3.2%  27.9%      127   3.2% __memcpy_sse2_unaligned
     111   2.8%  30.7%      121   3.1% cv::Mat::release (inline)
     103   2.6%  33.4%      103   2.6% cv::resizeGeneric_Invoker::operator
     101   2.6%  35.9%      101   2.6% png_get_uint_16
      98   2.5%  38.4%       98   2.5% cv::CvtColorLoop_Invoker::operator
      91   2.3%  40.7%       91   2.3% __GI___pthread_mutex_lock
      75   1.9%  42.6%       75   1.9% cv::Mat::copyTo
      72   1.8%  44.4%       72   1.8% DBoW2::FORB::distance
      70   1.8%  46.2%       70   1.8% std::_Rb_tree_increment@74b50
      61   1.5%  47.7%       61   1.5% SLL_Pop (inline)
      60   1.5%  49.3%       60   1.5% gdk_region_spans_intersect_foreach
      57   1.4%  50.7%       59   1.5% IC_Angle (inline)
      56   1.4%  52.1%       56   1.4% cv::_InputArray::getMat
      54   1.4%  53.5%       54   1.4% cv::RowFilter::operator
      52   1.3%  54.8%       52   1.3% g2o::EdgeStereoSE3ProjectXYZ::linearizeOplus
      48   1.2%  56.0%       48   1.2% adler32
      43   1.1%  57.1%       43   1.1% crc32
      36   0.9%  58.0%       36   0.9% cv::SymmColumnVec_32s8u::operator
      34   0.9%  58.9%       34   0.9% Eigen::SimplicialCholeskyBase::factorize_preordered
      34   0.9%  59.8%       34   0.9% png_set_invert_mono
      30   0.8%  60.5%       30   0.8% __memmove_ssse3_back
      30   0.8%  61.3%       30   0.8% __pthread_mutex_unlock_usercnt (inline)
      30   0.8%  62.0%       30   0.8% cv::cornerScore
      30   0.8%  62.8%       30   0.8% icvCvt_BGR2RGB_8u_C3R
      29   0.7%  63.5%       40   1.0% Eigen::NoAlias::operator+=
      28   0.7%  64.2%       28   0.7% _mm_set1_pd (inline)
      28   0.7%  64.9%       28   0.7% g2o::BaseBinaryEdge::constructQuadraticForm
      27   0.7%  65.6%       58   1.5% g2o::SparseOptimizer::initializeOptimization@64a70
      27   0.7%  66.3%       27   0.7% inflateMark
      26   0.7%  67.0%       82   2.1% ORB_SLAM2::Frame::GetFeaturesInArea
      25   0.6%  67.6%       25   0.6% g2o::SparseOptimizer::activeRobustChi2
      24   0.6%  68.2%       24   0.6% cv::Mat::Mat
      24   0.6%  68.8%       40   1.0% std::_Rb_tree::_M_insert_unique
      23   0.6%  69.4%       28   0.7% Eigen::internal::product_coeff_impl::run (inline)
      23   0.6%  70.0%       23   0.6% cv::MatOp_AddEx::makeExpr
      23   0.6%  70.6%       23   0.6% cv::cvtScale16u32f
      21   0.5%  71.1%       21   0.5% g2o::EdgeStereoSE3ProjectXYZ::computeError
      21   0.5%  71.6%       21   0.5% std::vector::size (inline)
      20   0.5%  72.1%       34   0.9% ORB_SLAM2::Tracking::UpdateLocalPoints
      18   0.5%  72.6%       18   0.5% _mm_cvtsd_si32 (inline)
      18   0.5%  73.0%       18   0.5% cv::Mat::create
      18   0.5%  73.5%       30   0.8% std::_Rb_tree::_M_erase
      17   0.4%  73.9%       17   0.4% __GI_madvise
      17   0.4%  74.4%       17   0.4% cv::arithm_op
      16   0.4%  74.8%       81   2.1% ORB_SLAM2::Tracking::SearchLocalPoints
      16   0.4%  75.2%       30   0.8% cv::Mat::operator=
      15   0.4%  75.6%       75   1.9% tc_free
      14   0.4%  75.9%       14   0.4% _Rb_tree_node (inline)
      14   0.4%  76.3%       48   1.2% copyCoeff (inline)
      14   0.4%  76.6%       14   0.4% cv::operator*
      14   0.4%  77.0%       14   0.4% g2o::EdgeStereoSE3ProjectXYZOnlyPose::cam_project
      14   0.4%  77.3%       96   2.4% tc_new
      13   0.3%  77.7%       13   0.3% DBoW2::L1Scoring::score
      13   0.3%  78.0%       19   0.5% ORB_SLAM2::ORBmatcher::SearchByProjection@a1230
      13   0.3%  78.3%       13   0.3% cv::_OutputArray::create@96690
      13   0.3%  78.6%       22   0.6% g2o::BlockSolver::buildStructure
      12   0.3%  79.0%       70   1.8% DBoW2::TemplatedVocabulary::transform
      12   0.3%  79.3%       12   0.3% _init@5e738
      12   0.3%  79.6%       12   0.3% _mm_mul_pd (inline)
      12   0.3%  79.9%      155   3.9% g2o::BlockSolver::buildSystem
      12   0.3%  80.2%       12   0.3% std::_Rb_tree::_M_lower_bound (inline)
      11   0.3%  80.4%       11   0.3% ORB_SLAM2::ORBmatcher::DescriptorDistance
      11   0.3%  80.7%       11   0.3% __gthread_mutex_unlock (inline)
      11   0.3%  81.0%       11   0.3% __read_nocancel@eb6a9
      11   0.3%  81.3%       11   0.3% cv::MatExpr::MatExpr
      11   0.3%  81.6%       11   0.3% g2o::SparseOptimizer::computeActiveErrors
      11   0.3%  81.8%       11   0.3% std::_Rb_tree_insert_and_rebalance
      11   0.3%  82.1%       88   2.2% tcmalloc::ThreadCache::Allocate (inline)
      10   0.3%  82.4%       10   0.3% g2o::EdgeStereoSE3ProjectXYZ::cam_project
      10   0.3%  82.6%       10   0.3% g2o::RobustKernelHuber::robustify
       9   0.2%  82.9%       13   0.3% KeyPoint (inline)
       9   0.2%  83.1%        9   0.2% _mm_sub_pd (inline)
       9   0.2%  83.3%        9   0.2% cv::MatOp_GEMM::makeExpr
       9   0.2%  83.5%        9   0.2% cv::finalizeHdr
       9   0.2%  83.8%        9   0.2% g2o::EdgeStereoSE3ProjectXYZOnlyPose::linearizeOplus
       8   0.2%  84.0%        8   0.2% PackedCache::KeyMatch (inline)
       8   0.2%  84.2%        8   0.2% __GI_memset
       8   0.2%  84.4%        8   0.2% __libc_writev
       8   0.2%  84.6%        8   0.2% g2o::EdgeStereoSE3ProjectXYZOnlyPose::computeError
       8   0.2%  84.8%       23   0.6% tcmalloc::ThreadCache::Deallocate (inline)
       8   0.2%  85.0%       69   1.7% tcmalloc::ThreadCache::FreeList::Pop (inline)
       8   0.2%  85.2%       77   2.0% ~Mat (inline)
       7   0.2%  85.4%        9   0.2% ORB_SLAM2::MapPoint::IsInKeyFrame
       7   0.2%  85.5%        7   0.2% cv::norm
       7   0.2%  85.7%        8   0.2% evalTo (inline)
       6   0.2%  85.9%        6   0.2% Eigen::internal::scalar_multiple_op::operator (inline)
       6   0.2%  86.0%       14   0.4% ORB_SLAM2::ORBmatcher::SearchByProjection@a7ff0
       6   0.2%  86.2%        6   0.2% SLL_PopRange (inline)
       6   0.2%  86.3%        6   0.2% SLL_SetNext (inline)
       6   0.2%  86.5%        8   0.2% __distance (inline)
       6   0.2%  86.6%        6   0.2% _mm_add_pd (inline)
       6   0.2%  86.8%       31   0.8% construct (inline)
       6   0.2%  86.9%       82   2.1% cpp_alloc (inline)
       6   0.2%  87.1%        6   0.2% cross (inline)
       6   0.2%  87.2%        6   0.2% cv::MatOp_AddEx::assign
       6   0.2%  87.4%        6   0.2% operator<  (inline)
       6   0.2%  87.5%        6   0.2% std::_Rb_tree::_M_get_insert_unique_pos
       6   0.2%  87.7%        6   0.2% tcmalloc::CentralFreeList::FetchFromOneSpans
       5   0.1%  87.8%      110   2.8% ORB_SLAM2::Optimizer::LocalBundleAdjustment
       5   0.1%  87.9%        5   0.1% Point_ (inline)
       5   0.1%  88.1%       60   1.5% __gnu_cxx::new_allocator::allocate (inline)
       5   0.1%  88.2%        5   0.1% __nanosleep_nocancel
       5   0.1%  88.3%        5   0.1% __write_nocancel
       5   0.1%  88.4%        5   0.1% _init@43140
       5   0.1%  88.6%        5   0.1% _mm_loadh_pd (inline)
       5   0.1%  88.7%        5   0.1% _mm_store_pd (inline)
       5   0.1%  88.8%        5   0.1% cv::operator+
       5   0.1%  89.0%        5   0.1% cv::operator-
       5   0.1%  89.1%        5   0.1% cv::resize
       5   0.1%  89.2%        6   0.2% g2o::BaseUnaryEdge::linearizeOplus
       5   0.1%  89.3%        5   0.1% tcmalloc::ThreadCache::SampleAllocation (inline)
       4   0.1%  89.4%       23   0.6% CoeffBasedProduct (inline)
       4   0.1%  89.5%        4   0.1% Eigen::internal::scalar_sum_op::operator (inline)
       4   0.1%  89.6%       10   0.3% SLL_Push (inline)
       4   0.1%  89.7%        4   0.1% ___printf_fp
       4   0.1%  89.8%        6   0.2% __copy_m (inline)
       4   0.1%  89.9%       52   1.3% cv::Mat::~Mat
       4   0.1%  90.0%        4   0.1% cv::_InputArray::type
       4   0.1%  90.1%        4   0.1% cv::_OutputArray::create@97300
       4   0.1%  90.2%       28   0.7% cv::fastMalloc
       4   0.1%  90.3%        4   0.1% cv::makeOffsets
       4   0.1%  90.5%       55   1.4% do_free_helper (inline)
       4   0.1%  90.6%       25   0.6% g2o::HyperGraph::addEdge
       4   0.1%  90.7%       13   0.3% g2o::SparseBlockMatrix::block
       4   0.1%  90.8%       53   1.3% packet (inline)
       4   0.1%  90.9%        9   0.2% std::_Rb_tree::_M_erase (inline)
       4   0.1%  91.0%        4   0.1% std::_Rb_tree_const_iterator::operator++ (inline)
       4   0.1%  91.1%       40   1.0% std::_Vector_base::_M_allocate (inline)
       4   0.1%  91.2%        7   0.2% std::vector::_M_insert_aux
       3   0.1%  91.2%        3   0.1% MStep (inline)
       3   0.1%  91.3%        9   0.2% ORB_SLAM2::Frame::isInFrustum
       3   0.1%  91.4%       16   0.4% ORB_SLAM2::KeyFrame::GetFeaturesInArea
       3   0.1%  91.5%       22   0.6% ORB_SLAM2::ORBmatcher::Fuse
       3   0.1%  91.5%       51   1.3% ORB_SLAM2::Optimizer::PoseOptimization
       3   0.1%  91.6%        3   0.1% __GI___strcmp_ssse3
       3   0.1%  91.7%        3   0.1% __cxxabiv1::__si_class_type_info::__do_dyncast
       3   0.1%  91.8%        3   0.1% __gnu_cxx::__normal_iterator::operator++ (inline)
       3   0.1%  91.8%        3   0.1% __open_nocancel
       3   0.1%  91.9%        3   0.1% __poll_nocancel
       3   0.1%  92.0%        3   0.1% __recvmsg_nocancel
       3   0.1%  92.1%        3   0.1% _init@296e8
       3   0.1%  92.1%        3   0.1% cv::FilterEngine::proceed
       3   0.1%  92.2%        3   0.1% cv::Mat::initEmpty (inline)
       3   0.1%  92.3%        3   0.1% cv::MatOp_GEMM::assign
       3   0.1%  92.4%        3   0.1% cv::fastAtan2
       3   0.1%  92.5%        3   0.1% cv::normL2_
       3   0.1%  92.5%        3   0.1% cv::scaleAdd
       3   0.1%  92.6%        3   0.1% cvUndistortPoints
       3   0.1%  92.7%       38   1.0% g2o::BaseUnaryEdge::constructQuadraticForm
       3   0.1%  92.8%        3   0.1% g2o::EdgeSE3ProjectXYZ::computeError
       3   0.1%  92.8%        3   0.1% g2o::HyperGraph::clear
       3   0.1%  92.9%        3   0.1% g2o::OptimizableGraph::Edge::setRobustKernel
       3   0.1%  93.0%       84   2.1% g2o::SparseOptimizer::initializeOptimization@62ab0
       3   0.1%  93.1%        3   0.1% png_build_grayscale_palette
       3   0.1%  93.1%       25   0.6% std::_Rb_tree::_M_clone_node (inline)
       3   0.1%  93.2%       28   0.7% std::_Rb_tree::_M_copy
       3   0.1%  93.3%       30   0.8% std::_Vector_base::_M_deallocate (inline)
       3   0.1%  93.4%        6   0.2% std::unique_lock::lock (inline)
       3   0.1%  93.4%        3   0.1% std::vector::operator[] (inline)
       3   0.1%  93.5%        3   0.1% tcmalloc::SizeMap::ClassIndex (inline)
       3   0.1%  93.6%        3   0.1% tcmalloc::ThreadCache::GetThreadHeap (inline)
       2   0.1%  93.6%        2   0.1% DBoW2::FeatureVector::addFeature
       2   0.1%  93.7%        2   0.1% Eigen::SparseMatrix::operator=
       2   0.1%  93.7%      113   2.9% Eigen::internal::assign_impl::run (inline)
       2   0.1%  93.8%        4   0.1% Eigen::internal::set_from_triplets
       2   0.1%  93.8%        2   0.1% MapBase (inline)
       2   0.1%  93.9%        8   0.2% ORB_SLAM2::ExtractorNode::DivideNode
       2   0.1%  93.9%        2   0.1% ORB_SLAM2::Frame::PosInGrid
       2   0.1%  94.0%        5   0.1% ORB_SLAM2::Frame::operator=
       2   0.1%  94.0%        2   0.1% ORB_SLAM2::KeyFrameDatabase::DetectRelocalizationCandidates
       2   0.1%  94.1%        4   0.1% ORB_SLAM2::LocalMapping::KeyFrameCulling
       2   0.1%  94.1%        8   0.2% ORB_SLAM2::MapPoint::UpdateNormalAndDepth
       2   0.1%  94.2%       99   2.5% ORB_SLAM2::ORBextractor::ComputeKeyPointsOctTree
       2   0.1%  94.3%        2   0.1% _Vector_impl (inline)
       2   0.1%  94.3%        2   0.1% __GI___mempcpy
       2   0.1%  94.4%       32   0.8% __GI___pthread_mutex_unlock
       2   0.1%  94.4%        2   0.1% __close_nocancel
       2   0.1%  94.5%        2   0.1% __gnu_cxx::__normal_iterator::operator+= (inline)
       2   0.1%  94.5%        2   0.1% __read_nocancel@f389
       2   0.1%  94.6%      187   4.7% computeDescriptors (inline)
       2   0.1%  94.6%       44   1.1% copyCoeffByOuterInner (inline)
       2   0.1%  94.7%        2   0.1% cv::Line
       2   0.1%  94.7%        2   0.1% cv::Mat::convertTo
       2   0.1%  94.8%        9   0.2% cv::Mat::operator= (inline)
       2   0.1%  94.8%        2   0.1% cv::MatOp_GEMM::add
       2   0.1%  94.9%        2   0.1% cv::MatOp_Initializer::makeExpr
       2   0.1%  94.9%        2   0.1% cv::NAryMatIterator::init
       2   0.1%  95.0%        2   0.1% cv::_InputArray::_InputArray
       2   0.1%  95.0%        2   0.1% cv::_InputArray::kind
       2   0.1%  95.1%        2   0.1% cv::_OutputArray::_OutputArray
       2   0.1%  95.1%        2   0.1% cv::copyMakeBorder
       2   0.1%  95.2%        2   0.1% cv::fastFree
       2   0.1%  95.2%        2   0.1% cv::gemm
       2   0.1%  95.3%        2   0.1% cv::sub32f
       2   0.1%  95.3%        2   0.1% cv::vBinOp32f
       2   0.1%  95.4%       30   0.8% do_malloc_or_cpp_alloc (inline)
       2   0.1%  95.4%        7   0.2% emplace_back (inline)
       2   0.1%  95.5%        2   0.1% g2o::EdgeSE3ProjectXYZ::linearizeOplus
       2   0.1%  95.5%        2   0.1% g2o::EdgeSE3ProjectXYZOnlyPose::linearizeOplus
       2   0.1%  95.6%        2   0.1% g2o::HyperGraph::vertex
       2   0.1%  95.6%        2   0.1% g2o::OptimizableGraph::Edge::~Edge
